Trait,Coefficient
Elev,2.8431811495531445
MAT,0.182778043950345
MWMT,0.2199597175881184
MCMT,2.256535599028932
TD,0.5794706643764158
MAP,1.2062471523258311
MSP,1.3614733094923082
AHM,1.1342581661836113
SHM,1.3911652953756939
DD_0,1.135716245787608
DD5,0.22506186181618243
DD_18,0.16589070024666047
DD18,1.1948148338591909
NFFD,0.2074242035695119
bFFP,0.30623457785491265
eFFP,0.09526934305157714
FFP,0.31363770000294255
Tmax_wt,1.0255193113520915
Tmax_sp,0.20812850820030412
Tmax_sm,0.34762122199798323
Tmax_at,0.1870697164616479
Tmin_wt,18.658400373545984
Tmin_sp,0.6037777078865706
Tmin_sm,0.15528852119124234
Tmin_at,0.5234689151085955
Tave_wt,1.649744351779011
Tave_sp,0.2115567466459043
Tave_sm,0.24696900872121919
Tave_at,0.2557180404638094
PPT_wt,1.1963771216731245
PPT_sp,1.461121703778048
PPT_sm,1.3293363927471957
PPT_at,1.1050195887335916
Rad_wt,0.4039122640876719
Rad_sp,0.08700342533605807
Rad_sm,0.12283572535439538
Rad_at,0.25705398451597977
DD_0_wt,1.2052941232987928
DD_0_sp,0.7228106482133096
DD_0_sm,-1
DD_0_at,1.3440174349178282
DD5_wt,1.4545155121307338
DD5_sp,0.345241814809456
DD5_sm,0.3815656314783673
DD5_at,0.31258088841608217
DD_18_wt,0.2960062541220013
DD_18_sp,0.14921968176452638
DD_18_sm,0.812380666973499
DD_18_at,0.2511948389150916
DD18_wt,2.696799449852968
DD18_sp,0.7106680508190243
DD18_sm,1.7948407414579244
DD18_at,0.6054039581302582
NFFD_wt,0.7123430480126497
NFFD_sp,0.20467303068119694
NFFD_sm,0.021192795328084362
NFFD_at,0.18082323401798953
PAS_wt,1.5818569546243706
PAS_sp,1.1675156626582284
PAS_sm,2.0041110012546195
PAS_at,1.2206104550101975
Eref_wt,0.4714527262393165
Eref_sp,0.2401029156879541
Eref_sm,0.4422728724797509
Eref_at,0.24498371603139668
